EmployeeID,Age,Gender,MaritalStatus,Department,JobRole,Education,EducationField,BusinessTravel,OverTime,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,NumCompaniesWorked,MonthlyIncome,SalaryBand,PercentSalaryHike,StockOptionLevel,TrainingTimesLastYear,PerformanceRating,WorkLifeBalance,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,DistanceFromHome,Attrition
EMP0001,56,Male,Married,Research & Development,Research Director,3,Human Resources,Travel_Rarely,No,4,4,3,5,19091,Very High,23,2,4,3,3,1,4,3,25,No
EMP0002,46,Male,Married,Research & Development,Research Scientist,5,Medical,Travel_Rarely,No,2,2,2,8,5166,Medium,11,1,5,3,4,1,3,2,22,No
EMP0003,32,Male,Divorced,Research & Development,Healthcare Representative,1,Life Sciences,Travel_Rarely,No,1,0,1,4,6211,High,22,3,3,3,1,4,4,1,16,Yes
EMP0004,25,Male,Married,Research & Development,Research Director,3,Life Sciences,Travel_Rarely,No,11,1,7,4,5239,Medium,13,2,4,3,4,3,4,3,7,No
EMP0005,38,Male,Married,Research & Development,Manufacturing Director,5,Technical Degree,Non-Travel,No,0,0,0,6,9831,High,20,0,3,3,1,2,3,2,15,No
EMP0006,56,Male,Married,Sales,Sales Executive,3,Life Sciences,Travel_Rarely,No,9,7,4,1,7443,High,18,2,3,3,4,2,2,1,21,Yes
EMP0007,36,Female,Single,Sales,Sales Executive,5,Other,Travel_Rarely,No,1,0,1,2,1080,Low,15,2,4,3,4,1,2,4,28,No
EMP0008,40,Female,Married,Sales,Manager,2,Other,Non-Travel,No,5,5,2,1,3720,Medium,14,1,6,3,2,4,3,1,25,No
EMP0009,28,Male,Married,Research & Development,Manufacturing Director,5,Other,Travel_Rarely,Yes,7,0,5,9,5431,Medium,16,3,2,3,1,1,1,1,20,No
EMP0010,28,Male,Single,Sales,Sales Executive,4,Medical,Travel_Frequently,No,12,7,5,9,1499,Low,22,3,1,4,1,1,3,1,26,Yes
EMP0011,41,Male,Single,Human Resources,Human Resources,1,Medical,Travel_Rarely,No,2,2,2,1,5393,Medium,15,3,3,3,1,4,2,4,11,No
EMP0012,53,Male,Single,Sales,Sales Representative,5,Marketing,Travel_Rarely,No,10,2,2,2,3472,Medium,13,2,6,3,1,3,1,3,22,No
EMP0013,57,Male,Married,Research & Development,Research Director,3,Other,Travel_Rarely,No,14,3,3,5,18103,Very High,23,1,0,3,4,2,3,3,21,Yes
EMP0014,41,Male,Divorced,Sales,Sales Representative,3,Other,Travel_Rarely,No,8,5,6,4,4803,Medium,21,1,4,4,2,3,2,1,1,Yes
EMP0015,20,Female,Divorced,Research & Development,Manufacturing Director,5,Life Sciences,Travel_Rarely,No,14,6,1,4,6421,High,24,2,5,3,2,4,2,2,5,No
EMP0016,39,Female,Married,Human Resources,Human Resources,4,Human Resources,Travel_Rarely,No,11,4,6,1,5050,Medium,15,1,6,3,3,4,2,2,13,No
